Name,mcg,gvh,lip,chg,aac,alm1,alm2,class
91,0.65,0.47,0.48,0.5,0.59,0.3,0.4,0
100,0.32,0.42,0.48,0.5,0.35,0.28,0.38,0
111,0.38,0.46,0.48,0.5,0.48,0.22,0.29,0
112,0.33,0.45,0.48,0.5,0.52,0.32,0.41,0
113,0.3,0.37,0.48,0.5,0.59,0.41,0.49,0
116,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0
118,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0
121,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0
126,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0
127,0.44,0.35,0.48,0.5,0.55,0.55,0.61,0
128,0.43,0.4,0.48,0.5,0.39,0.28,0.39,0
129,0.42,0.35,0.48,0.5,0.58,0.15,0.27,0
130,0.23,0.33,0.48,0.5,0.43,0.33,0.43,0
131,0.37,0.52,0.48,0.5,0.42,0.42,0.36,0
133,0.29,0.3,0.48,0.5,0.45,0.03,0.17,0
134,0.22,0.36,0.48,0.5,0.35,0.39,0.47,0
135,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0
136,0.47,0.47,0.48,0.5,0.22,0.16,0.26,0
137,0.54,0.47,0.48,0.5,0.28,0.33,0.42,0
139,0.51,0.37,0.48,0.5,0.35,0.36,0.45,0
146,0.4,0.35,0.48,0.5,0.45,0.33,0.42,0
152,0.44,0.34,0.48,0.5,0.3,0.33,0.43,0
153,0.42,0.38,0.48,0.5,0.54,0.34,0.43,0
156,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0
161,0.52,0.36,0.48,0.5,0.41,0.28,0.38,0
162,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0
163,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0
170,0.47,0.29,0.48,0.5,0.51,0.33,0.43,0
171,0.24,0.43,0.48,0.5,0.54,0.52,0.59,0
172,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0
173,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0
174,0.25,0.37,0.48,0.5,0.43,0.26,0.36,0
181,0.35,0.48,0.48,0.5,0.56,0.4,0.48,0
182,0.26,0.26,0.48,0.5,0.34,0.25,0.35,0
186,0.44,0.51,0.48,0.5,0.47,0.26,0.36,0
189,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0
190,0.44,0.42,0.48,0.5,0.42,0.25,0.2,0
203,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0
208,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0
209,0.48,0.42,0.48,0.5,0.45,0.25,0.35,0
212,0.41,0.48,0.48,0.5,0.51,0.44,0.51,0
213,0.44,0.28,0.48,0.5,0.43,0.27,0.37,0
214,0.29,0.41,0.48,0.5,0.48,0.38,0.46,0
215,0.34,0.28,0.48,0.5,0.41,0.35,0.44,0
217,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0
219,0.29,0.47,0.48,0.5,0.41,0.23,0.34,0
221,0.34,0.55,0.48,0.5,0.58,0.31,0.41,0
222,0.36,0.56,0.48,0.5,0.43,0.45,0.53,0
230,0.4,0.46,0.48,0.5,0.52,0.49,0.56,0
236,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0
237,0.52,0.44,0.48,0.5,0.37,0.36,0.42,0
240,0.5,0.51,0.48,0.5,0.27,0.23,0.34,0
241,0.53,0.42,0.48,0.5,0.16,0.29,0.39,0
244,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0
246,0.4,0.42,0.48,0.5,0.37,0.27,0.27,0
248,0.41,0.43,0.48,0.5,0.5,0.24,0.25,0
250,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0
251,0.31,0.47,0.48,0.5,0.29,0.28,0.39,0
252,0.64,0.76,0.48,0.5,0.45,0.35,0.38,0
255,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0
259,0.57,0.54,0.48,0.5,0.37,0.28,0.33,0
260,0.65,0.55,0.48,0.5,0.34,0.37,0.28,0
262,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0
263,0.38,0.4,0.48,0.5,0.63,0.25,0.35,0
265,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0
266,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0
267,0.33,0.47,0.48,0.5,0.53,0.18,0.29,0
268,0.24,0.34,0.48,0.5,0.38,0.3,0.4,0
269,0.26,0.5,0.48,0.5,0.44,0.32,0.41,0
270,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0
271,0.43,0.32,0.48,0.5,0.33,0.45,0.52,0
278,0.49,0.43,0.48,0.5,0.49,0.3,0.4,0
280,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0
281,0.32,0.33,0.48,0.5,0.6,0.06,0.2,0
284,0.34,0.35,0.48,0.5,0.51,0.49,0.56,0
285,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0
286,0.38,0.3,0.48,0.5,0.43,0.29,0.39,0
287,0.38,0.44,0.48,0.5,0.43,0.2,0.31,0
288,0.41,0.51,0.48,0.5,0.58,0.2,0.31,0
289,0.34,0.42,0.48,0.5,0.41,0.34,0.43,0
290,0.51,0.49,0.48,0.5,0.53,0.14,0.26,0
291,0.25,0.51,0.48,0.5,0.37,0.42,0.5,0
292,0.29,0.28,0.48,0.5,0.5,0.42,0.5,0
293,0.25,0.26,0.48,0.5,0.39,0.32,0.42,0
294,0.24,0.41,0.48,0.5,0.49,0.23,0.34,0
295,0.17,0.39,0.48,0.5,0.53,0.3,0.39,0
296,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0
297,0.61,0.36,0.48,0.5,0.49,0.35,0.44,0
298,0.34,0.51,0.48,0.5,0.44,0.37,0.46,0
299,0.28,0.33,0.48,0.5,0.45,0.22,0.33,0
300,0.4,0.46,0.48,0.5,0.42,0.35,0.44,0
301,0.23,0.34,0.48,0.5,0.43,0.26,0.37,0
302,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0
303,0,0.38,0.48,0.5,0.42,0.48,0.55,0
304,0.39,0.31,0.48,0.5,0.38,0.34,0.43,0
305,0.3,0.44,0.48,0.5,0.49,0.22,0.33,0
309,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0
310,0.17,0.52,0.48,0.5,0.49,0.37,0.46,0
320,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
322,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
324,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
327,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
328,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
329,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
330,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
331,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
85,0.06,0.61,0.48,0.5,0.49,0.92,0.37,1
0,0.44,0.52,0.48,0.5,0.43,0.47,0.54,1
9,0.63,0.47,0.48,0.5,0.51,0.82,0.84,1
14,0.23,0.48,0.48,0.5,0.59,0.88,0.89,1
16,0.34,0.49,0.48,0.5,0.58,0.85,0.8,1
17,0.43,0.4,0.48,0.5,0.58,0.75,0.78,1
21,0.46,0.61,0.48,0.5,0.48,0.86,0.87,1
23,0.27,0.35,0.48,0.5,0.51,0.77,0.79,1
25,0.52,0.39,0.48,0.5,0.65,0.71,0.73,1
42,0.29,0.47,0.48,0.5,0.71,0.65,0.69,1
47,0.55,0.47,0.48,0.5,0.57,0.78,0.8,1
52,0.12,0.67,0.48,0.5,0.74,0.58,0.63,1
53,0.4,0.5,0.48,0.5,0.65,0.82,0.84,1
63,0.73,0.36,0.48,0.5,0.53,0.91,0.92,1
68,0.84,0.44,0.48,0.5,0.48,0.71,0.74,1
69,0.48,0.45,0.48,0.5,0.6,0.78,0.8,1
70,0.54,0.49,0.48,0.5,0.4,0.87,0.88,1
75,0.48,0.41,0.48,0.5,0.51,0.9,0.88,1
77,0.5,0.66,0.48,0.5,0.31,0.92,0.92,1
88,0.72,0.46,0.48,0.5,0.51,0.66,0.7,1
89,0.47,0.55,0.48,0.5,0.58,0.71,0.75,1
104,0.33,0.56,0.48,0.5,0.33,0.78,0.8,1
105,0.64,0.58,0.48,0.5,0.48,0.78,0.73,1
110,0.54,0.57,0.48,0.5,0.56,0.81,0.83,1
114,0.47,0.59,0.48,0.5,0.52,0.76,0.79,1
115,0.63,0.5,0.48,0.5,0.59,0.85,0.86,1
120,0.49,0.42,0.48,0.5,0.53,0.79,0.81,1
123,0.31,0.5,0.48,0.5,0.57,0.84,0.85,1
124,0.74,0.44,0.48,0.5,0.55,0.88,0.89,1
138,0.33,0.45,0.48,0.5,0.45,0.88,0.89,1
141,0.45,0.4,0.48,0.5,0.61,0.74,0.77,1
143,0.71,0.4,0.48,0.5,0.71,0.7,0.74,1
147,0.5,0.37,0.48,0.5,0.66,0.64,0.69,1
150,0.66,0.53,0.48,0.5,0.59,0.66,0.66,1
151,0.6,0.61,0.48,0.5,0.54,0.67,0.71,1
154,0.83,0.37,0.48,0.5,0.61,0.71,0.74,1
155,0.34,0.51,0.48,0.5,0.67,0.9,0.9,1
158,0.63,0.54,0.48,0.5,0.65,0.79,0.81,1
159,0.7,0.4,0.48,0.5,0.56,0.86,0.83,1
166,0.6,0.5,1,0.5,0.54,0.77,0.8,1
178,0.16,0.51,0.48,0.5,0.33,0.39,0.48,1
179,0.74,0.7,0.48,0.5,0.66,0.65,0.69,1
183,0.2,0.46,0.48,0.5,0.57,0.78,0.81,1
187,0.89,0.55,0.48,0.5,0.51,0.72,0.76,1
188,0.7,0.46,0.48,0.5,0.56,0.78,0.73,1
216,0.12,0.43,0.48,0.5,0.63,0.7,0.74,1
220,0.61,0.52,0.48,0.5,0.54,0.67,0.52,1
223,0.33,0.37,0.48,0.5,0.46,0.65,0.69,1
226,0.63,0.65,0.48,0.5,0.66,0.67,0.71,1
231,0.41,0.51,0.48,0.5,0.53,0.75,0.78,1
233,0.34,0.67,0.48,0.5,0.52,0.76,0.79,1
234,0.58,0.34,0.48,0.5,0.56,0.87,0.81,1
238,0.59,0.56,0.48,0.5,0.55,0.8,0.82,1
239,0.51,0.4,0.48,0.5,0.57,0.62,0.67,1
242,0.5,0.57,0.48,0.5,0.71,0.61,0.66,1
243,0.6,0.46,0.48,0.5,0.45,0.81,0.83,1
245,0.37,0.47,0.48,0.5,0.39,0.76,0.79,1
247,0.58,0.55,0.48,0.5,0.57,0.7,0.74,1
249,0.36,0.47,0.48,0.5,0.51,0.69,0.72,1
254,0.39,0.41,0.48,0.5,0.52,0.72,0.75,1
256,0.35,0.51,0.48,0.5,0.61,0.71,0.74,1
258,0.31,0.44,0.48,0.5,0.5,0.79,0.82,1
272,0.61,0.66,0.48,0.5,0.46,0.87,0.88,1
274,0.48,0.49,0.48,0.5,0.52,0.77,0.71,1
275,0.11,0.5,0.48,0.5,0.58,0.72,0.68,1
277,0.31,0.36,0.48,0.5,0.58,0.94,0.94,1
311,0.68,0.51,0.48,0.5,0.71,0.75,0.78,1
332,0.69,0.39,0.48,0.5,0.57,0.76,0.79,1
334,0.52,0.54,0.48,0.5,0.62,0.76,0.79,1
90,0.46,0.59,0.48,0.5,0.36,0.76,0.23,1
107,0.36,0.45,0.48,0.5,0.38,0.79,0.17,1
108,0,0.51,0.48,0.5,0.35,0.67,0.44,1
109,0.1,0.49,0.48,0.5,0.41,0.67,0.21,1
177,0.3,0.51,0.48,0.5,0.42,0.61,0.34,1
312,0.61,0.47,0.48,0.5,0,0.8,0.32,1
315,0.63,0.75,0.48,0.5,0.64,0.73,0.66,1
86,0.71,0.52,0.48,0.5,0.64,1,0.99,1
22,0.85,0.53,0.48,0.5,0.53,0.52,0.35,3
185,0.63,0.49,0.48,0.5,0.54,0.76,0.79,3
191,0.75,0.55,1,1,0.4,0.47,0.3,2
50,0.7,0.39,1,0.5,0.51,0.82,0.84,2
20,0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
24,0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
30,0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
33,0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
43,0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
44,0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
48,0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
51,0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
54,0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
72,0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
74,0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
79,0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
98,0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
99,0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
106,0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
125,0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
140,0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
142,0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
164,0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
165,0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
167,0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
168,0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
176,0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
197,0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
198,0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
224,0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
253,0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
264,0.49,0.61,1,0.5,0.56,0.71,0.74,4
273,0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
276,0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
307,0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
321,0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
325,0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
316,0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
145,0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
92,0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
101,0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
144,0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
184,0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
194,0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
199,0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
200,0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
201,0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
205,0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
218,0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
319,0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
27,0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
40,0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
93,0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
96,0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
102,0.6,0.76,1,0.5,0.77,0.59,0.52,5
202,0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
204,0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
314,0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
210,0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
180,0.77,0.57,1,0.5,0.37,0.54,0.01,6
192,0.66,0.49,1,0.5,0.54,0.56,0.36,6
193,0.71,0.46,1,0.5,0.52,0.59,0.3,6
211,0.67,0.55,1,0.5,0.66,0.58,0.16,6
279,0.68,0.49,1,0.5,0.62,0.55,0.28,6
6,0.74,0.49,0.48,0.5,0.42,0.54,0.36,7
10,0.7,0.61,0.48,0.5,0.56,0.52,0.43,7
15,0.66,0.86,0.48,0.5,0.34,0.41,0.36,7
19,0.73,0.78,0.48,0.5,0.58,0.51,0.31,7
26,0.65,0.57,0.48,0.5,0.47,0.47,0.51,7
29,0.72,0.86,0.48,0.5,0.17,0.55,0.21,7
41,0.67,0.7,0.48,0.5,0.46,0.45,0.33,7
57,0.67,0.81,0.48,0.5,0.54,0.49,0.23,7
60,0.67,0.61,0.48,0.5,0.51,0.37,0.38,7
67,0.63,1,0.48,0.5,0.35,0.51,0.49,7
73,0.57,0.59,0.48,0.5,0.39,0.47,0.33,7
76,0.71,0.71,0.48,0.5,0.4,0.54,0.39,7
78,0.66,0.74,0.48,0.5,0.31,0.38,0.43,7
80,0.67,0.81,0.48,0.5,0.25,0.42,0.25,7
81,0.64,0.72,0.48,0.5,0.49,0.42,0.19,7
94,0.68,0.82,0.48,0.5,0.38,0.65,0.56,7
95,0.32,0.39,0.48,0.5,0.53,0.28,0.38,7
97,0.7,0.64,0.48,0.5,0.47,0.51,0.47,7
103,0.63,0.57,0.48,0.5,0.49,0.7,0.2,7
117,0.74,0.82,0.48,0.5,0.49,0.49,0.41,7
119,0.63,0.86,0.48,0.5,0.39,0.47,0.34,7
122,0.63,0.83,0.48,0.5,0.4,0.39,0.19,7
132,0.63,0.71,0.48,0.5,0.6,0.4,0.39,7
148,0.71,0.86,0.48,0.5,0.4,0.54,0.32,7
149,0.68,0.78,0.48,0.5,0.43,0.44,0.42,7
157,0.64,0.84,0.48,0.5,0.37,0.45,0.4,7
160,0.74,0.47,0.48,0.5,0.5,0.57,0.42,7
169,0.75,0.84,0.48,0.5,0.35,0.52,0.33,7
175,0.63,0.65,0.48,0.5,0.39,0.44,0.35,7
195,0.69,0.67,0.48,0.5,0.3,0.39,0.24,7
196,0.7,0.71,0.48,0.5,0.42,0.84,0.85,7
206,0.69,0.8,0.48,0.5,0.46,0.57,0.26,7
207,0.64,0.66,0.48,0.5,0.41,0.39,0.2,7
225,0.63,0.8,0.48,0.5,0.46,0.31,0.29,7
227,0.66,0.71,0.48,0.5,0.41,0.5,0.35,7
228,0.69,0.59,0.48,0.5,0.46,0.44,0.52,7
229,0.68,0.67,0.48,0.5,0.49,0.4,0.34,7
232,0.64,0.78,0.48,0.5,0.5,0.36,0.38,7
235,0.62,0.78,0.48,0.5,0.47,0.49,0.54,7
257,0.76,0.73,0.48,0.5,0.44,0.39,0.39,7
261,0.64,0.81,0.48,0.5,0.37,0.39,0.44,7
282,0.29,0.39,0.48,0.5,0.52,0.4,0.48,7
283,0.62,0.83,0.48,0.5,0.46,0.36,0.4,7
306,0.56,0.54,0.48,0.5,0.43,0.37,0.3,7
308,0.69,0.66,0.48,0.5,0.41,0.5,0.25,7
313,0.69,0.65,0.48,0.5,0.63,0.48,0.41,7
317,0.43,0.59,0.48,0.5,0.52,0.49,0.56,7
318,0.74,0.56,0.48,0.5,0.47,0.68,0.3,7
323,0.71,0.57,0.48,0.5,0.48,0.35,0.32,7
326,0.61,0.6,0.48,0.5,0.44,0.39,0.38,7
333,0.59,0.61,0.48,0.5,0.42,0.42,0.37,7
335,0.74,0.74,0.48,0.5,0.31,0.53,0.52,7
